NO2 ;PtC;Trajet;vitesse;Typo;Auto;Com;Dep;GBd;Nat;Periph;Tun;Agglo;GCR;ParisR;PCR;P10PA1H;P2PA1H;N2PA1H;Saison;Période
148.39;82.66;A Alpha (1);23;Paris_PC;0;0;24;77;0;0;0;100;0;77;24;25.4;10.9;20;ete;Matin
188.61;100.03;A Alpha (2);27;Paris_PC;0;7;21;43;0;29;7;100;0;79;21;39.3;29.4;67.5;ete;Soir
176.31;111.17;A Alpha (3);24;Paris_PC;0;27;0;13;0;61;0;100;0;73;27;26.6;9.6;37;hiver;Matin
168.6;69.04;A Alpha (4);45;Paris_PC;0;0;35;21;0;44;0;100;0;65;35;29.6;14.8;63;hiver;Soir
206.28;117.82;A Bravo (1);19;PC_PC;0;0;38;0;30;32;20;100;0;32;68;24.3;11;25.5;ete;Matin
223.16;106.97;A Bravo (2);17;PC_PC;0;0;67;0;0;33;12;100;0;33;67;31.8;24.5;64;ete;Soir
193.54;117.72;A Bravo (3);17;PC_PC;0;20;0;0;34;46;26;100;0;46;54;26.5;12.3;44;hiver;Matin
227;90.01;A Bravo (4);27;PC_PC;0;24;37;0;0;39;24;100;0;39;61;27.1;13.6;67.5;hiver;Soir
219.2;108.93;A Delta (1);12;PC_PC;0;0;15;0;39;46;22;100;0;46;54;22.9;13.6;28.5;ete;Matin
187.16;78.45;A Delta (2);15;PC_PC;0;0;72;0;0;28;16;100;0;28;72;31.3;20.4;51;ete;Soir
230.09;133.93;A Delta (3);20;PC_PC;0;13;14;0;34;39;21;100;0;39;61;29.1;12.8;43.5;hiver;Matin
219.68;80.84;A Delta (4);19;PC_PC;0;20;55;0;0;26;16;100;0;26;74;23.6;11.6;64.5;hiver;Soir
125.24;56.4;A Echo (1);23;PC_GC;0;15;85;0;0;0;0;100;28;0;72;27.1;11.5;29.5;ete;Matin
152.4;59.44;A Echo (2);25;PC_GC;21;0;79;0;0;0;3;100;87;0;13;28.4;19.4;45.5;ete;Soir
164.44;105.04;A Echo (3);26;PC_GC;0;0;92;0;8;0;0;100;39;0;61;39.3;16.3;49.5;hiver;Matin
165.9;72.58;A Echo (4);19;PC_GC;0;0;100;0;0;0;0;100;25;0;75;22.6;10.1;73.5;hiver;Soir
99;37.47;A Foxtrot (1);13;GC_PC;0;0;100;0;0;0;0;100;30;0;70;32.3;12.7;32;ete;Matin
196.79;67.46;A Foxtrot (2);26;GC_PC;18;0;82;0;0;0;2;100;40;0;60;26.1;18.2;39;ete;Soir
109.27;74.72;A Foxtrot (3);20;GC_PC;0;0;100;0;0;0;0;100;41;0;59;41;17.8;50;hiver;Matin
242.52;65.96;A Foxtrot (4);7;GC_PC;14;73;14;0;0;0;1;100;15;0;85;24.9;14.8;84;hiver;Soir
144.54;74.94;A Golf (1);21;PC_Paris;0;21;13;50;0;16;5;100;0;87;13;35.6;16.3;29.5;ete;Matin
187.32;78.02;A Golf (2);28;PC_Paris;0;0;15;45;0;39;0;100;0;85;15;27.9;13.9;37;ete;Soir
143.49;93.18;A Golf (3);22;PC_Paris;0;13;19;48;0;20;7;100;0;81;19;39.1;19.4;46.5;hiver;Matin
244.73;125.64;A Golf (4);26;PC_Paris;0;0;9;42;0;48;0;100;0;91;9;20.8;11.5;87;hiver;Soir
193.03;98.09;B Alpha (1);29;Paris_PC;42;0;0;16;42;0;0;100;0;16;84;23.5;13.8;48;ete;Matin
119.59;94.96;B Alpha (2);50;Paris_PC;55;22;0;23;0;0;0;100;0;23;77;48.8;41.4;44;hiver;Soir
132.62;61.02;B Bravo (1);24;PC_PC;0;34;6;0;60;0;0;100;0;0;100;36.7;15.3;70.5;ete;Matin
85.53;52.47;B Bravo (2);37;PC_PC;28;34;0;0;38;0;0;100;0;0;100;48.2;41.6;44;hiver;Soir
143.37;70.78;B Charlie (1);24;PC_PC;13;25;18;0;44;0;0;100;0;0;100;44.6;18.5;69;ete;Matin
82.38;58.7;B Charlie (2);28;PC_PC;0;17;6;0;77;0;0;100;0;0;100;47.4;41.7;44;hiver;Soir
128.02;54.3;B Echo (1);55;GC_GC;51;0;31;0;19;0;0;100;100;0;0;44.3;21;74;ete;Matin
119.56;64.37;B Echo (2);20;GC_GC;57;18;25;0;0;0;0;100;100;0;0;44.4;39.1;45.5;hiver;Soir
169.87;64.45;B Foxtrot (1);27;GC_Paris;44;0;14;42;0;0;0;100;23;42;34;44.8;22.6;64.5;ete;Matin
184.48;108.27;B Foxtrot (2);30;GC_Paris;39;5;5;30;0;22;2;100;32;51;16;48.2;40.4;44.5;hiver;Soir
70.8;55.09;C Bravo (1);30;GC_GC;0;55;0;0;45;0;0;100;100;0;0;35.3;14.8;51;ete;Matin
68.33;43.17;C Bravo (2);30;GC_GC;0;30;49;0;21;0;0;100;100;0;0;44.9;26.2;68.5;hiver;Matin
105.3;35.48;C Bravo (3);29;GC_GC;0;9;91;0;0;0;0;100;100;0;0;19.2;11.2;55;hiver;Soir
95.94;102.99;C Bravo (4);34;GC_GC;0;44;56;0;0;0;0;100;100;0;0;34.6;20.2;80.5;hiver;Soir
100.93;62.41;C Charlie (1);36;GC_GC;58;11;22;0;9;0;0;62;100;0;0;36.6;15.5;48.5;ete;Matin
120.6;81.74;C Charlie (2);51;GC_GC;64;18;12;0;6;0;0;57;100;0;0;49.4;27.8;72.5;hiver;Matin
123.9;74.41;C Charlie (3);32;GC_GC;0;14;65;0;22;0;0;100;100;0;0;19.2;10.1;57;hiver;Soir
143.49;109.73;C Charlie (4);31;GC_GC;0;13;88;0;0;0;0;100;100;0;0;36.5;22.3;79;hiver;Soir
219.97;93.5;C Delta (1);29;GC_Paris;59;10;0;25;0;6;2;100;46;30;24;45.4;19;50;ete;Matin
224.82;128.9;C Delta (2);23;GC_Paris;0;0;5;21;48;25;1;100;35;47;18;59.1;32.4;79;hiver;Matin
175.58;78.71;C Delta (3);33;GC_Paris;60;0;0;18;14;8;1;100;62;27;11;17.7;12.3;49.5;hiver;Soir
225.04;130.9;C Delta (4);31;GC_Paris;52;0;2;23;0;22;1;100;47;46;7;33.5;21.4;72;hiver;Soir
