GYP	NER	DER	REI	VRE	RHU	NUT	DIG	CIR	Station	Dep	Reg
0	0	0	0	0	0	1	1	0	ALET-LES-BAINS	11	1
1	0	0	0	1	0	0	0	1	ARGELES-GAZOST	65	1
0	0	1	0	0	0	0	0	0	AVENE	34	1
0	0	1	0	1	1	0	0	0	AX-LES-THERMES	09	1
0	1	0	0	1	1	0	0	0	BAGNERES-DE-BIGORRE	65	1
1	0	0	0	0	1	0	0	0	BALARUC	34	1
0	0	0	1	0	0	1	1	0	BARBAZAN	31	1
0	0	1	0	0	1	0	0	0	BAREGES	65	1
0	0	0	0	0	1	0	0	0	BEAUCENS	65	1
0	0	0	1	0	0	1	1	0	CAPVERN	65	1
0	0	0	0	0	0	1	1	0	CASTERA-VERDUZAN	32	1
0	0	1	0	1	1	0	0	0	CAUTERETS	65	1
0	0	0	0	0	1	0	0	0	CRANSAC	12	1
0	0	0	0	0	1	0	0	0	DAX	40	1
0	1	0	0	0	1	0	0	0	LAMALOU	34	1
1	0	0	1	0	0	0	0	0	LA PRESTE	66	1
0	0	0	0	0	0	1	1	0	LE BOULOU	66	1
0	0	0	0	1	0	0	0	0	LES EAUX-BONNES	64	1
0	0	0	0	1	1	0	0	0	LES EAUX-CHAUDES	64	1
0	0	0	0	1	1	0	0	0	LUCHON	31	1
0	0	0	0	0	0	1	1	0	MIERS-ALVIGNAC	46	1
0	0	0	0	0	1	0	0	0	PRECHACQ	40	1
0	0	0	0	0	1	0	0	0	RENNES-LES-BAINS	11	1
1	0	0	0	0	0	0	0	1	SAINT-SAUVEUR	65	1
1	0	0	0	0	1	0	0	0	SALIES-DE-BEARN	64	1
1	0	0	0	0	0	0	0	0	SALIES-DU-SALAT	31	1
0	0	0	0	0	1	0	0	0	SAUBUSSE	40	1
0	0	1	0	1	1	0	0	0	TERCIS-LES-BAINS	40	1
1	1	0	0	0	0	0	0	0	USSAT	09	1
0	0	0	0	1	1	0	0	0	VERNET-LES-BAINS	66	1
1	0	0	0	0	0	0	0	1	AIX-EN-PROVENCE	13	2
0	0	0	0	0	1	0	0	0	AIX-LES-BAINS	73	2
0	0	0	0	1	0	0	0	0	AIX-LES-BAINS-(MARLIOZ)	73	2
0	0	0	0	1	0	0	0	0	ALLEVARD	38	2
0	0	0	0	0	1	1	1	0	BRIDES	73	2
0	0	0	0	1	1	0	0	0	CAMOINS	13	2
1	0	0	0	1	0	0	0	0	CHALLES	73	2
0	0	0	0	0	1	0	0	0	CHARBONNIERES	69	2
0	0	0	0	1	1	0	0	0	DIGNE	04	2
0	1	0	0	0	0	0	0	0	DIVONNE	01	2
0	0	0	1	0	0	1	1	0	EVIAN	74	2
1	0	0	0	0	0	0	0	1	LA LECHERE	73	2
0	0	1	0	1	0	0	0	0	LES FUMADES	30	2
0	0	0	0	0	0	1	1	0	MONTROND	42	2
0	0	1	0	0	1	0	0	0	NEYRAC	07	2
0	0	1	0	1	0	0	0	0	SAINT-GERVAIS	74	2
0	0	0	0	0	1	0	0	0	SAINT-LAURENT	07	2
0	1	0	1	0	0	1	0	0	THONON	74	2
0	0	1	0	1	1	0	0	0	URIAGE	38	2
0	0	0	0	0	0	1	1	0	VALS	07	2
0	0	0	0	0	1	0	0	1	BAGNOLS-LES-BAINS	48	3
0	0	0	0	0	1	0	0	1	BOURBON-LANCY	71	3
1	0	0	0	0	1	0	0	0	BOURBON-L'ARCHAMBAULT	03	3
0	0	0	0	0	1	0	0	0	CHATEAUNEUF-LES-BAINS	63	3
0	0	0	0	0	0	0	1	0	CHATEL-GUYON	63	3
0	0	0	0	0	1	0	0	0	CHAUDES-AIGUES	15	3
1	0	0	0	0	1	0	0	1	EVAUX-LES-BAINS	23	3
0	0	1	0	1	0	0	0	0	LA BOURBOULE	63	3
0	0	1	0	0	0	0	0	0	LA ROCHE-POSAY	86	3
0	0	0	0	1	1	0	0	0	LE MONT-DORE	63	3
0	1	0	0	0	1	0	0	0	NERIS	03	3
0	0	0	0	0	1	0	0	1	ROYAT	63	3
0	0	1	0	0	0	1	0	0	SAIL-LES-BAINS	42	3
0	0	0	0	1	0	0	0	0	SAINT-HONORE	S$	3
0	0	0	1	0	0	0	0	0	SAINT-NECTAIRE	63	3
0	0	0	0	0	1	1	1	0	VICHY	03	3
0	0	0	0	0	0	0	0	1	BAINS-LES-BAINS	88	4
0	0	0	0	0	1	0	0	0	BOURBONNE	52	4
0	0	0	1	0	0	1	1	0	CONTREXEVILLE	88	4
0	0	0	0	1	1	0	1	0	LONS-LE-SAUNIER	39	4
1	0	0	0	0	0	0	0	0	LUXEUIL	70	4
0	0	0	0	0	1	0	0	0	MAIZIERES	21	4
0	0	0	0	0	1	0	0	0	PECHELBROON	67	4
0	0	0	0	0	1	0	1	0	PLOMBIERES	88	4
1	0	0	0	0	1	0	0	0	SALINS-LES-BAINS	39	4
0	0	0	1	0	0	1	1	0	VITTEL	88	4
1	0	0	0	0	0	0	0	1	BAGNOLES-DE-L'ORNE	61	5
0	0	0	0	0	0	1	1	0	FORGES-LES-EAUX	76	5
0	0	0	0	1	1	0	0	0	ENGHIEN	95	5
0	0	0	1	0	0	0	0	0	ARCACHON-LES-ABATILLES	33	5
0	0	1	0	0	1	0	0	1	ROCHEFORT	17	5
0	1	0	0	0	0	0	0	0	SAUJON	17	5
0	0	0	0	1	1	0	0	0	SAINT-AMAND	59	5

