n°	Del	Doute	Per	P	jour	h	Sexe	Age	A	Occu	Lieu	Bilan	Dev	Dec	Cou
1	OK	0	P1	Pa	640615	NA	F	ado	ado	b	NA	BL	0	0	0
2	OK	0	P1	Pa	640630	NA	F	14	ado	NA	NA	M	1	0	0
3	OK	0	P1	Pa	640808	17	F	15	ado	b	NA	M	1	0	0
4	OK	0	P1	Pa	640825	NA	M	15	ado	b	NA	M	1	0	0
5	OK	0	P1	Pa	640901	NA	M	ado	ado	NA	NA	M	1	0	0
6	OK	0	P1	Pa	640906	19	F	36	adu	NA	v	M	0	0	0
13	OK	0	P1	Pa	640916	18	M	12	enf	b	NA	M	0	0	0
14	OK	0	P1	Pa	640926	16	F	12	enf	NA	NA	M	0	0	0
15	OK	0	P2	Pb	641007	NA	F	20	ado	NA	NA	M	0	1	1
16	OK	0	P2	Pb	641008	NA	M	15	ado	NA	c	BG	0	0	0
17	OK	0	P2	Pb	641008	NA	M	12	enf	b	NA	B	0	0	0
18	OK	0	P2	Pb	641010	12	M	15	ado	b	c	BG	0	0	0
19	OK	0	P2	Pb	641010	18	F	10	enf	b	NA	BG	0	0	0
20	OK	0	P2	Pb	641011	NA	F	adu	adu	NA	NA	M	1	0	0
21	OK	0	P2	Pb	641015	NA	M	10	enf	b	NA	M	0	1	1
22	OK	0	P2	Pb	641016	NA	F	adu	adu	NA	NA	M	0	0	0
23	OK	0	P2	Pb	641021	18	F	21	adu	b	c	M	1	1	1
24	OK	0	P2	Pb	641030	NA	F	adu	adu	b	NA	BG	0	0	0
26	OK	0	P2	Pb	641125	17	F	60	adu	b	NA	M	0	1	1
28	OK	0	P2	Pb	641215	10	F	45	adu	b	NA	M	0	1	1
30	OK	0	P2	Pb	641220	17	F	6	enf	NA	m	M	0	1	1
31	OK	0	P2	Pb	641222	NA	F	ado	ado	NA	NA	M	1	0	0
32	OK	0	P2	Pb	641224	NA	M	16	ado	NA	NA	M	1	0	0
36	OK	0	P2	Pb	650106	10	F	30	adu	NA	j	M	0	0	1
37	OK	0	P2	Pb	650106	11	F	25	adu	NA	b	M	0	1	1
38	OK	0	P2	Pb	650108	NA	F	12	enf	NA	NA	M	1	0	0
39	OK	0	P2	Pb	650111	6	F	ado	ado	NA	NA	M	1	0	0
41	OK	0	P2	Pb	650112	NA	M	9	enf	b	NA	BG	0	0	0
41	OK	0	P2	Pb	650112	NA	M	8	enf	b	NA	BG	0	0	0
42	OK	0	P2	Pb	650112	NA	M	14	ado	b	NA	M	1	0	0
43	OK	0	P2	Pb	650114	NA	M	13	ado	NA	NA	M	1	0	0
44	OK	0	P2	Pb	650115	NA	F	20	ado	b	c	M	0	0	0
46	OK	0	P2	Pb	650120	17	F	15	ado	NA	j	B	0	0	0
47	OK	0	P2	Pb	650122	20	F	35	adu	NA	NA	M	1	1	1
48	OK	0	P2	Pb	650128	NA	F	3	enf	NA	m	M	0	0	0
50	OK	0	P2	Pb	650130	20	F	14	ado	NA	NA	M	1	0	0
52	OK	0	P2	Pb	650131	NA	M	8	enf	NA	NA	BG	0	0	1
54	OK	0	P2	Pb	650209	15	F	13	ado	NA	NA	M	1	1	1
57	OK	0	P2	Pb	650221	8	M	adu	adu	NA	NA	B	0	0	0
59	OK	0	P2	Pb	650224	NA	F	18	ado	NA	NA	B	0	0	0
62	OK	0	P2	Pb	650228	NA	F	ado	ado	NA	NA	B	0	0	1
63	OK	0	P2	Pb	650228	14	F	8	enf	NA	m	M	1	1	1
64	OK	0	P2	Pb	650228	NA	F	7	enf	NA	v	M	0	0	0
