n	Pop	LCB	LSM	LBM	LP	LM	LAM
1	Chien	154	74	76	20.0	14.2	16.5
2	Chien	170	87	71	17.9	12.3	15.9
3	Chien	188	94	73	19.5	13.3	14.8
4	Chien	161	81	55	17.1	12.1	13.0
5	Chien	164	90	58	17.5	12.7	14.7
6	Chien	203	109	65	20.7	14.0	16.8
7	Chien	178	97	57	17.3	12.8	14.3
8	Chien	212	114	65	20.5	14.3	15.5
9	Chien	221	123	62	21.2	15.2	17.0
10	Chien	183	97	52	19.3	12.9	13.5
11	Chien	212	112	65	19.7	14.2	16.0
12	Chien	220	117	70	19.8	14.3	15.6
13	Chien	216	113	72	20.5	14.4	17.7
14	Chien	216	112	75	19.6	14.0	16.4
15	Chien	205	110	68	20.8	14.1	16.4
16	Chien	228	122	78	22.5	14.2	17.8
17	Chien	218	112	65	20.3	13.9	17.0
18	Chien	190	93	78	19.7	13.2	14.0
19	Chien	212	111	73	20.5	13.7	16.6
20	Chien	201	105	70	19.8	14.3	15.9
21	Chien	196	106	67	18.5	12.6	14.2
22	Chien	158	71	71	16.7	12.5	13.3
23	Chien	255	126	86	21.4	15.0	18.0
24	Chien	234	113	83	21.3	14.8	17.0
25	Chien	205	105	70	19.0	12.4	14.9
26	Chien	186	97	62	19.0	13.2	14.2
27	Chien	241	119	87	21.0	14.7	18.3
28	Chien	220	111	88	22.5	15.4	18.0
29	Chien	242	120	85	19.9	15.3	17.6
30	Chien	129	64	95	17.5	11.2	13.8
1	Loup	227	117	77	25.0	15.3	18.6
2	Loup	228	122	82	24.7	15.0	18.5
3	Loup	232	123	83	25.3	16.8	15.5
4	Loup	231	121	78	23.5	16.5	19.6
5	Loup	215	118	74	25.7	15.7	19.0
6	Loup	184	100	69	23.3	15.8	19.7
7	Loup	175	94	73	22.2	14.8	17.0
8	Loup	239	124	77	25.0	16.8	27.0
9	Loup	203	109	70	23.3	15.0	18.7
10	Loup	226	118	72	26.0	16.0	19.4
11	Loup	226	119	77	26.5	16.8	19.3
12	Loup	199	105	73	23.4	15.0	19.1
1	?	210	103	72	20.5	14.0	16.7

