BOL	DMA	DMV	TAL	TLC	ODS	OCP	PAYS	i
1930	344	442	540	190	1090	600	Burkina	1
2070	559	450	570	230	1050	650	Burkina	2
2150	586	440	590	220	1050	650	Burkina	3
2020	561	450	530	180	1020	660	Burkina	4
1980	535	429	470	210	1030	580	Burkina	5
2110	603	430	500	210	1020	670	Burkina	6
2130	666	441	560	200	1040	640	Burkina	7
2220	493	440	580	210	1130	650	Burkina	8
2320	539	420	530	220	1070	680	Burkina	9
2260	396	450	530	200	1080	690	Burkina	10
2030	560	424	520	220	1090	600	Côte d'Ivoire	1
2010	529	437	520	230	1070	600	Côte d'Ivoire	2
2120	573	420	560	250	1060	590	Côte d'Ivoire	3
1900	500	437	500	230	1090	540	Côte d'Ivoire	4
2110	620	421	570	250	1050	620	Côte d'Ivoire	5
2040	583	431	600	250	1120	570	Côte d'Ivoire	6
1990	510	422	480	210	1050	560	Côte d'Ivoire	7
1950	476	415	530	230	1050	560	Côte d'Ivoire	8
1930	488	431	510	230	1040	600	Côte d'Ivoire	9
2090	542	405	505	230	1065	575	Côte d'Ivoire	10
2110	570	423	530	220	1050	610	Côte d'Ivoire	11
1890	504	405	465	210	1050	550	Côte d'Ivoire	12
2040	523	438	530	230	1040	575	Côte d'Ivoire	13
2060	572	444	530	230	1050	515	Côte d'Ivoire	14
1940	546	431	500	220	1030	540	Côte d'Ivoire	15
2150	623	422	535	230	1065	610	Côte d'Ivoire	16
1860	509	413	425	210	1005	555	Côte d'Ivoire	17
2080	582	406	515	210	1075	595	Côte d'Ivoire	18
1800	581	421	500	230	1050	515	Côte d'Ivoire	19
2060	624	442	500	210	1040	650	Dahomey	1
1950	513	441	490	210	1040	590	Dahomey	2
2120	589	448	550	220	1040	640	Dahomey	3
1990	568	452	480	190	1050	630	Dahomey	4
2110	600	460	510	210	1060	640	Dahomey	5
2180	559	394	680	300	980	570	Ile Maurice-1	1
2200	579	396	630	270	940	520	Ile Maurice-1	2
2340	557	389	700	300	1000	500	Ile Maurice-1	3
1990	537	397	570	250	970	570	Ile Maurice-1	4
2210	527	403	720	290	970	530	Ile Maurice-1	5
2410	535	394	700	270	970	580	Ile Maurice-1	6
2210	567	385	660	290	1020	520	Ile Maurice-1	7
2060	542	403	660	290	970	550	Ile Maurice-1	8
1960	560	418	630	270	960	560	Ile Maurice-1	9
2110	570	412	670	300	950	570	Ile Maurice-1	10
2030	580	389	580	250	970	570	Ile Maurice-1	11
2020	505	391	710	310	950	580	Ile Maurice-1	12
2150	581	400	650	280	970	550	Ile Maurice-1	13
2060	603	390	710	280	970	610	Ile Maurice-1	14
2160	584	384	660	290	940	570	Ile Maurice-1	15
2220	555	414	620	280	960	550	Ile Maurice-1	16
2130	560	408	680	290	970	590	Ile Maurice-1	17
1990	585	387	600	290	960	500	Ile Maurice-1	18
2170	529	392	620	270	960	590	Ile Maurice-1	19
2250	546	392	650	270	960	560	Ile Maurice-2	1
2290	587	371	690	300	930	580	Ile Maurice-2	2
2070	545	415	650	300	950	550	Ile Maurice-2	3
2050	488	390	770	330	970	580	Ile Maurice-2	4
2150	566	381	700	300	930	550	Ile Maurice-2	5
2030	580	399	630	270	930	550	Ile Maurice-2	6
1940	570	412	500	270	920	600	Ile Maurice-2	7
2580	581	440	620	270	1070	650	Ile Maurice-3	1
2440	581	455	600	250	1080	610	Ile Maurice-3	2
2210	567	452	570	230	1040	640	Ile Maurice-3	3
2380	643	437	660	270	1040	650	Ile Maurice-3	4
2450	628	453	650	280	1050	670	Ile Maurice-3	5
2420	605	471	600	250	1020	640	Ile Maurice-3	6
2450	612	449	690	280	1050	650	Ile Maurice-3	7
2580	629	445	600	250	1100	650	Ile Maurice-3	8
2410	560	444	640	270	1050	600	Ile Maurice-3	9
2410	588	436	750	300	1090	650	Ile Maurice-3	10
2410	535	436	680	260	1020	650	Ile Maurice-3	11
2430	657	449	680	270	1110	630	Ile Maurice-3	12
2470	602	453	720	290	1090	610	Ile Maurice-3	13
2400	522	433	630	260	1010	640	Ile Maurice-3	14
2370	551	443	700	280	1080	630	Ile Maurice-3	15
2490	593	446	640	250	1070	620	Ile Maurice-3	16
2450	557	478	740	280	1090	680	Ile Maurice-3	17
2210	520	452	640	270	1040	620	Ile Maurice-3	18
2530	515	439	680	280	1090	640	Ile Maurice-3	19
2410	602	440	680	270	1070	650	Ile Maurice-3	20
2360	576	456	650	260	1090	660	Ile Maurice-3	21
2270	597	449	650	260	1050	660	Ile Maurice-3	22
2390	583	452	660	280	1090	600	Ile Maurice-3	23
2410	574	436	640	250	1100	640	Ile Maurice-3	24
2560	545	445	740	270	1080	640	Ile Maurice-3	25
2180	474	399	700	280	980	630	Israel	1
2010	437	383	840	280	950	600	Israel	2
2260	502	362	680	270	970	610	Israel	3
2180	559	401	600	250	1020	595	Madagascar	1
2250	556	410	600	240	970	620	Madagascar	2
2330	568	470	500	210	1050	600	Madagascar	3
1960	521	398	555	230	970	560	Madagascar	4
1840	533	395	570	260	950	550	Madagascar	5
2010	479	404	605	240	925	560	Madagascar	6
2170	637	456	635	270	1030	630	Madagascar	7
1890	518	396	575	230	925	560	Madagascar	8
2050	571	388	600	260	985	585	Madagascar	9
2010	564	391	680	270	995	560	Madagascar	10
1940	533	395	555	220	960	585	Madagascar	11
2140	555	415	585	230	970	575	Madagascar	12
2060	565	381	570	240	960	590	Madagascar	13
1860	591	405	640	310	930	550	Madagascar	14
1890	510	406	550	240	970	570	Madagascar	15
2080	594	383	590	250	930	550	Madagascar	16
1880	571	382	535	260	940	600	Madagascar	17
2190	644	414	590	260	950	580	Madagascar	18
1910	554	383	650	290	970	570	Madagascar	19
1550	550	416	600	270	960	575	Madagascar	20
1780	480	428	460	230	950	540	Madagascar	21
2380	628	387	680	270	980	590	Mozambique	1
2170	603	383	630	270	960	600	Mozambique	2
2300	657	378	660	290	1010	610	Mozambique	3
2110	639	379	630	270	990	570	Mozambique	4
2270	613	361	770	330	1000	570	Mozambique	5
2510	627	371	710	280	1000	600	Mozambique	6
2110	603	384	620	280	970	600	Mozambique	7
2510	697	363	680	280	1110	570	Mozambique	8
2270	614	392	660	290	1050	560	Mozambique	9
2350	653	383	610	260	1040	560	Mozambique	10
2400	667	383	680	310	1120	560	Mozambique	11
2320	580	368	700	270	1110	590	Mozambique	12
2290	654	371	630	260	980	550	Mozambique	13
2230	637	368	640	270	1090	570	Mozambique	14
2220	617	378	700	290	1100	590	Mozambique	15
2120	662	368	610	280	1090	570	Mozambique	16
2180	681	390	700	290	980	580	Mozambique	17
2340	755	363	690	300	990	580	Mozambique	18
1920	600	396	540	240	980	550	Mozambique	19
2210	491	417	620	270	950	600	Nigéria	1
2490	487	404	630	270	950	585	Nigéria	2
2030	547	398	590	260	950	600	Nigéria	3
2280	599	395	610	270	975	605	Nigéria	4
2170	492	421	600	220	950	810	Nigéria	5
2360	524	381	660	270	950	800	Nigéria	6
2020	458	444	530	240	1090	570	Nigéria	7
2080	428	438	510	190	990	850	Nigéria	8
1950	411	437	530	220	1020	590	Nigéria	9
2100	441	399	530	200	1080	590	Nigéria	10
2110	479	432	555	220	1100	600	Nigéria	11
2100	477	442	500	220	1045	585	Nigéria	12
