n	Masse	Periode	Excentricite
1	0.120	4.950000	0.0000
2	0.197	3.971000	0.0000
3	0.210	44.280000	0.3400
4	0.220	75.800000	0.2800
5	0.230	6.403000	0.0800
6	0.250	3.024000	0.0200
7	0.340	2.985000	0.0800
8	0.400	10.901000	0.4980
9	0.420	3.509700	0.0000
10	0.470	4.229000	0.0000
11	0.480	3.487000	0.0500
12	0.480	22.090000	0.3000
13	0.540	3.097000	0.0100
14	0.560	30.120000	0.2700
15	0.680	4.617000	0.0200
16	0.685	3.524330	0.0000
17	0.760	2594.000000	0.1000
18	0.770	14.310000	0.2700
19	0.810	828.950000	0.0400
20	0.880	221.600000	0.5400
21	0.880	2518.000000	0.6000
22	0.890	64.620000	0.1300
23	0.900	1136.000000	0.3300
24	0.930	3.092000	0.0000
25	0.930	14.660000	0.0300
26	0.990	39.810000	0.0700
27	0.990	500.730000	0.1000
28	0.990	872.300000	0.2800
29	1.000	337.110000	0.3800
30	1.000	264.900000	0.3800
31	1.010	540.400000	0.5200
32	1.010	1942.000000	0.4000
33	1.020	10.720000	0.0440
34	1.050	119.600000	0.3500
35	1.120	500.000000	0.2300
36	1.130	154.800000	0.3100
37	1.150	2614.000000	0.0000
38	1.230	1326.000000	0.1400
39	1.240	391.000000	0.4000
40	1.240	435.600000	0.4500
41	1.282	7.126200	0.1340
42	1.420	426.000000	0.0200
43	1.550	51.610000	0.6490
44	1.560	1444.500000	0.2000
45	1.580	260.000000	0.2400
46	1.630	444.600000	0.4100
47	1.640	406.000000	0.5300
48	1.650	401.100000	0.3600
49	1.680	796.700000	0.6800
50	1.760	903.000000	0.2000
51	1.830	454.000000	0.2000
52	1.890	61.020000	0.1000
53	1.900	6.276000	0.1500
54	1.990	743.000000	0.6200
55	2.050	241.300000	0.2400
56	0.050	1119.000000	0.1700
57	2.080	228.520000	0.3040
58	2.240	311.300000	0.2200
59	2.540	1089.000000	0.0600
60	2.540	627.340000	0.0600
61	2.550	2185.000000	0.1800
62	2.630	414.000000	0.2100
63	2.840	250.500000	0.1900
64	2.940	229.900000	0.3500
65	3.030	186.900000	0.4100
66	3.320	267.200000	0.2300
67	3.360	1098.000000	0.2200
68	3.370	133.710000	0.5110
69	3.440	1112.000000	0.5200
70	3.550	18.200000	0.0100
71	3.810	340.000000	0.3600
72	3.900	111.810000	0.9270
73	4.000	15.780000	0.0460
74	4.000	5360.000000	0.1600
75	4.120	1209.900000	0.6500
76	4.140	3.313000	0.0200
77	4.270	1764.000000	0.3530
78	4.290	1308.500000	0.3100
79	4.500	951.000000	0.4500
80	4.800	1237.000000	0.5150
81	5.180	576.000000	0.7100
82	5.700	383.000000	0.0700
83	6.080	1074.000000	0.0110
84	6.292	71.487000	0.1243
85	7.170	256.000000	0.7000
86	7.390	1582.000000	0.4780
87	7.420	116.700000	0.4000
88	7.500	2300.000000	0.3950
89	7.700	58.116000	0.5290
90	7.950	1620.000000	0.2200
91	8.000	1558.000000	0.3140
92	8.640	550.650000	0.7100
93	9.700	653.220000	0.4100
94	10.000	3030.000000	0.5600
95	10.370	2115.200000	0.6200
96	10.960	84.030000	0.3300
97	11.300	2189.000000	0.3400
98	11.980	1209.000000	0.3700
99	14.400	8.428198	0.2770
100	16.900	1739.500000	0.2280
101	17.500	256.030000	0.4290

