Pays            h0 h25 h50 h75 f0 f25 f50 f75
Algérie         63  51  30  13 67  54  34  15
Cameroun        34  29  13   5 38  32  17   6
Madagascar      38  30  17   7 38  34  20   7
Maurice         59  42  20   6 64  46  25   8
Réunion         56  38  18   7 62  46  25  10
Seychelles      62  44  24   7 69  50  28  14
AfriSud-(C)     50  39  20   7 55  43  23   8
AfriSud-(W)     65  44  22   7 72  50  27   9
Tunisie         56  46  24  11 63  54  33  19
Canada          69  47  24   8 75  53  29  10
Costa-Rica      65  48  26   9 68  50  27  10
Dominicaine-Rep 64  50  28  11 66  51  29  11
Salvador        56  44  25  10 61  48  27  12
Groenland       60  44  22   6 65  45  25   9
Grenade         61  45  22   8 65  49  27  10
Guatemala       49  40  22   9 51  41  23   8
Honduras        59  42  22   6 61  43  22   7
Jamaique        63  44  23   8 67  48  26   9
Mexique         59  44  24   8 63  46  25   8
Nicaragua       65  48  28  14 68  51  29  13
Panama          65  48  26   9 67  49  27  10
Trinité(62)     64  63  21   7 68  47  25   9
Trinité(67)     64  43  21   6 68  47  24   8
USA(66)         67  45  23   8 74  51  28  10
USA(NW66)       61  40  21  10 67  46  25  11
USA(W66)        68  46  23   8 75  52  29  10
USA(67)         67  45  23   8 74  51  28  10
Argentine       65  46  24   9 71  51  28  10
Chili           59  43  23  10 66  49  27  12
Columbie        58  44  24   9 62  47  25  10
Equateur        57  46  28   9 60  49  28  11

