obs	y_i	x_i
1	1.165	48
2	1.208	33
3	1.141	35
4	1.278	46
5	1.239	47
6	1.072	47
7	1.087	55
8	1.178	52
9	1.127	53
10	1.155	51
11	0.932	63
12	1.224	66
13	1.178	60
14	1.193	68
15	1.024	61
16	1.116	68
17	0.943	79
18	0.907	76
19	1.145	72
20	1.19	74
21	1.111	72
22	1.391	70
23	1.228	71
24	0.876	74
25	0.91	70
26	0.909	76
27	1.188	76
28	1.073	82
29	1.069	85
30	1.109	82
31	1.006	80
32	1.054	87
33	1.052	89
34	1.065	82
35	0.945	84
36	1.059	86
37	1.027	86
38	1.19	80
39	1.063	81
40	0.947	80
41	1.021	93
42	0.862	93
43	0.968	96
