row.names,Pop,i,A,LF,LG,SF,SG,CEC,CO3Ca,CS,pH,CdS,CrS,CuS,FeS,MnS,NiS,PbS,ZnS,CdD,CuD,PbD,ZnD,CdN,CuN,ZnN,CdB,CrB,CuB,FeB,MgB,MnB,NiB,PbB,ZnB
Chg1,g, 1,2.727853,2.791165,2.595255, 3.314186 , 3.314186  ,2.197225,-6.907755, 0.5653138  ,1.791759,-1.07881    ,4.089332,3.387774, 1.054312  ,6.678342,3.404525,3.310543,4.677491,-2.024953 , 0.7687184 , 0.5573275  , 0.7070501 ,2.804572 ,3.607127,5.675726,-2.476938,-0.8818893,1.536867 ,3.391147, 0.10436    ,3.960813,-0.7174399  ,-6.907755 ,3.321432
Chg2,g, 2,2.867899,2.74084 ,2.459589, 3.261935 , 3.370738  ,2.054124,-6.907755, 0.2851789  ,1.88707 ,-1.139434   ,4.025352,2.980619, 1.029619  ,6.905753,3.411148,3.718438,4.852811,-2.343407 , 0.2761154 , 0.8858315  , 0.1301507 ,1.729884 ,3.244933,3.836653,-2.918771,-1.07881  ,1.401183 ,3.261935, 0.07696104 ,3.427515,-0.9314044  ,-6.907755 ,3.049273
Chg3,g, 3,2.980619,2.815409,2.541602, 3.273364 , 3.198673  ,2.197225,-6.907755, 0.6097656  ,1.722767,-1.108663   ,4.058717,3.058707, 1.026042  ,6.933423,3.178054,4.157319,4.903792,-1.958995 , 0.7109871 , 1.535791   , 0.493476  ,3.43431  ,3.514526,6.195935,-2.476938,-0.298406 ,1.673351 ,3.353407,-0.08338161 ,3.775057,-0.6217572  ,-6.907755 ,3.165475
Chg4,g, 4,2.960105,3.010621,2.753661, 3.00072  , 3.202746  ,2.397895,-6.907755, 0.5709795  ,1.824549,-0.8915981  ,4.399375,3.637586, 1.515127  ,7.268223,3.693867,5.386328,5.251226,-2.145581 , 0.3804891 , 2.800933   , 0.7884574 ,2.612273 ,3.411148,5.228163,-1.903809, 0.5822156,1.979621 ,3.499533, 0.01980263 ,3.815512,-0.9755101  ,-2.385858 ,3.131137
Chg5,g, 5,2.980619,2.995732,2.525729, 2.960105 , 3.349904  ,1.740466,-6.907755, 0.05826891 ,1.704748,-1.609438   ,4.119037,3.100092, 0.9042182 ,6.818924,2.476538,4.309456,4.266896,-2.465104 , 0.3784364 , 1.216099   , 0.3442987 ,3.405521 ,3.153163,6.372756,-2.764621,-0.6597124,1.82777  ,3.456317,-0.08338161 ,4.027136,-1.158362   ,-6.907755 ,3.360375
Chg6,g, 6,2.653242,2.681022,2.587764, 3.161247 , 3.535145  ,1.931521,-6.907755, 0.5068176  ,1.791759,-1.832581   ,3.113515,2.292535, 0.2311117 ,6.306275,1.88707 ,3.561046,3.775057,-2.551046 ,-0.1899506 , 0.4246139  , 0.3257001 ,2.00283  ,2.996232,4.886432,-2.780621,-0.8603831,1.771557 ,3.417727, 0.09531018 ,3.873282,-1.114742   ,-6.907755 ,3.273364
Chg7,g, 7,3.068053,2.928524,2.61007 , 3.109061 , 3.169686  ,2.066863,-6.907755, 0.3220835  ,1.94591 ,-1.386294   ,4.229749,3.54674 , 1.153732  ,7.165493,3.222868,3.824284,4.92144 ,-2.780621 , 0.9951019 , 1.140394   , 0.6173455 ,0.4824261,3.848657,3.023347,-3.912023,-0.8867319,1.859418 ,3.306887, 0.14842    ,3.54674 ,-1.283738   ,-6.907755 ,3.186353
Chg8,g, 8,3.214868,3.005683,2.525729, 3.049273 , 3.058707  ,2.197225,-6.907755, 0.4252677  ,1.916923,-1.514128   ,4.266896,3.543854, 1.286474  ,7.242798,3.238678,3.749504,4.868303,-2.830218 , 0.9734269 , 0.84415    , 0.7677907 ,0.5766134,3.786233,3.57431 ,-4.199705,-0.7700282,1.686399 ,3.234749, 0.09531018 ,3.484312,-1.84516    ,-6.907755 ,3.11795 
Chg9,g, 9,3.152736,3.010621,2.61007 , 2.879198 , 3.214868  ,2.230014,-6.907755, 0.463734   ,1.856298,-1.427116   ,4.276666,3.854394, 1.48614   ,7.692113,3.941582,3.549617,4.978112,-2.703063 , 0.8928174 , 0.1848184  ,-0.01005034,1.675226 ,3.310178,4.014219,-4.074542,-0.7940731,1.87334  ,3.254243, 0.01980263 ,3.54674 ,-1.180908   ,-6.907755 ,2.995732
Chg10,g,10,3.210844,3.068053,2.667228, 2.944439 , 3.010621  ,2.451005,-6.907755, 0.5481214  ,1.871802,-1.07881    ,4.41401 ,3.586293, 1.458615  ,7.657283,3.795489,3.583519,4.866765,-2.513306 , 0.7055697 , 0.528862   , 0.3604677 ,1.556037 ,3.370394,4.013677,-3.772261,-0.6971552,1.313724 ,3.218876, 0.0295588  ,3.673766,-1.406497   ,-6.907755 ,3.144152
Chg11,g,11,2.895912,2.895912,2.674149, 3.377588 , 2.995732  ,2.054124,-6.907755, 0.4446858  ,1.856298,-1.469676   ,3.949319,3.058707, 0.7514161 ,6.582025,2.785011,3.779634,4.418841,-2.36446  , 0.3906898 , 0.8792117  , 0.06765865,1.84055  ,3.310543,3.923359,-3.352407,-0.7896581,1.951608 ,3.317816, 0.14842    ,3.459466,-1.47841    ,-4.422016 ,3.238678
Cha1,a, 1,3.054001,2.879198,2.442347, 2.557227 , 3.600048  ,2.116256,-6.907755, 0.3852624  ,1.88707 ,-1.237874   ,4.136765,2.833213, 1.275363  ,7.355641,2.960105,3.246491,4.472781,-2.419119 , 0.2255407 , 0.6178847  , 0.1449658 ,1.637053 ,2.967847,3.806218,-3.170086,-0.2021162,1.902108 ,3.73767 , 0.1739533  ,3.663562,-0.9702191  ,-3.410945 ,3.144152
Cha2,a, 2,2.949688,2.867899,2.747271, 3.194583 , 3.148453  ,2.572612,-6.907755, 0.6418539  ,1.824549,-1.203973   ,6.81794 ,2.879198, 1.656322  ,7.277939,6.149536,2.747271,4.305416,-1.980502 , 0.3513608 , 0.9110772  , 0.970021  ,2.770712 ,2.70805 ,5.83197 ,-2.882404,-0.6558514,1.931521 ,3.681351, 0.2070142  ,3.589059, 0.48858    ,-6.907755 ,3.157   
Cha3,a, 3,2.631889,2.912351,2.60269 , 2.933857 , 3.566712  ,2.197225,-6.907755, 0.722706   ,1.84055 ,-1.386294   ,3.850148,2.066863, 0.5766134 ,6.317165,2.61007 ,3.144152,3.775057,-2.312635 ,-0.5124937 , 0.4940863  , 0.2753564 ,1.474763 ,2.783776,4.106932,-2.847312,-0.4992265,0.8415672,3.38439 , 0.2231436  ,3.613617,-0.923819   ,-6.907755 ,3.152736
