n	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11
34	1107	31	23	6.0	22.2	2.6	1.0	9.0	3.0	1.4	1.17
35	1116	34	6	2.5	6.6	1.3	1.8	3.9	1.2	1.5	0.67
36	1174	32	22	3.9	11.9	2.3	1.7	6.1	1.8	1.5	0.90
37	1131	30	6	4.7	15.3	1.5	1.5	6.5	1.4	1.3	2.32
38	1150	34	12	3.1	9.4	1.7	1.8	4.8	1.6	1.3	3.89
39	1132	22	18	7.0	37.0	2.5	1.5	9.0	2.0	1.5	6.00
40	1258	14	0	3.8	8.5	1.0	1.2	5.6	1.0	1.0	3.18
41	1114	26	9	3.4	9.6	1.6	1.6	5.1	1.5	1.3	0.90
42	1177	36	3	4.0	14.2	1.2	1.3	5.9	1.3	1.6	2.50
43	1146	26	18	4.3	17.9	2.3	1.6	7.7	2.0	1.4	2.00
44	1178	19	11	3.0	8.0	1.9	1.1	5.8	1.8	1.1	0.91
45	1149	28	1	7.2	33.7	1.0	2.0	7.3	1.3	1.2	1.64
46	1182	26	35	3.6	11.6	3.4	1.8	9.8	3.0	1.8	2.62
47	1092	36	23	4.9	12.5	2.4	1.8	10.1	2.2	1.8	1.07
48	1186	44	31	6.3	11.7	3.3	1.3	7.5	2.3	2.0	1.75
49	1163	45	29	5.6	15.9	3.1	1.4	9.2	2.7	1.8	0.23
50	1175	22	18	5.6	16.7	2.3	1.7	8.5	2.4	1.5	0.72
51	1209	22	11	4.5	14.6	1.6	1.7	6.9	2.1	1.7	0.40
52	1233	26	14	4.6	14.2	2.0	1.7	11.2	2.8	1.9	0.04
53	1165	32	22	4.2	12.4	2.8	1.8	9.1	2.7	1.6	0.20
54	1145	18	14	4.7	14.0	1.9	1.6	8.9	2.3	1.8	1.13
55	1245	43	13	5.5	20.6	1.9	1.5	8.7	2.3	1.9	0.06
56	1326	22	12	4.0	13.2	1.8	1.3	6.5	1.9	1.6	0.01
57	1228	39	27	4.5	12.0	3.0	2.0	9.0	2.5	1.8	1.00
58	1143	40	10	5.6	16.4	1.8	1.9	8.3	2.1	1.6	0.67
